session_id,vehicle_id,vehicle_type,number_plate,entry_time,exit_time,crossing_duration,run_type,algorithm,created_at
session_1781681691774,v114,car,UP07BG4940,0.0,141.5,141.5,baseline,fixed_time,2026-06-17T07:35:27.913827
session_1781681691774,v120,car,TN57YP3886,0.0,141.8,141.8,baseline,fixed_time,2026-06-17T07:35:27.978201
session_1781681691774,v104,car,DL40JN8925,0.0,142.0,142.0,baseline,fixed_time,2026-06-17T07:35:27.983648
session_1781681691774,v105,two_wheeler,AP50QI3943,0.0,142.3,142.3,baseline,fixed_time,2026-06-17T07:35:27.989626
session_1781681691774,v109,two_wheeler,HR20LN4133,0.0,142.7,142.7,baseline,fixed_time,2026-06-17T07:35:27.998227
session_1781681691774,v98,auto_rickshaw,KL24QB1975,0.0,142.8,142.8,baseline,fixed_time,2026-06-17T07:35:28.074242
session_1781681691774,v101,auto_rickshaw,MH80BB4483,0.0,142.8,142.8,baseline,fixed_time,2026-06-17T07:35:28.078363
session_1781681691774,v131,two_wheeler,TN51HA5841,0.0,142.8,142.8,baseline,fixed_time,2026-06-17T07:35:28.090229
session_1781681691774,v111,cab,AP09JD6522,0.0,142.9,142.9,baseline,fixed_time,2026-06-17T07:35:28.097505
session_1781681691774,v119,car,KA38HW1881,0.0,143.6,143.6,baseline,fixed_time,2026-06-17T07:35:28.106437
session_1781681691774,v121,car,GJ39GG3479,0.0,144.4,144.4,baseline,fixed_time,2026-06-17T07:35:28.189662
session_1781681691774,v122,two_wheeler,HR87RA6639,0.0,145.4,145.4,baseline,fixed_time,2026-06-17T07:35:28.257797
session_1781681691774,v134,car,AP81XB7932,0.0,145.8,145.8,baseline,fixed_time,2026-06-17T07:35:28.326793
session_1781681691774,v123,car,UP33WJ2001,0.0,146.2,146.2,baseline,fixed_time,2026-06-17T07:35:28.423075
session_1781681691774,v135,two_wheeler,GJ44RH2938,0.0,146.8,146.8,baseline,fixed_time,2026-06-17T07:35:28.508351
session_1781681691774,v126,car,AP97AY8303,0.0,149.6,149.6,baseline,fixed_time,2026-06-17T07:35:28.672340
session_1781681691774,v128,car,HR26VA8029,0.0,151.4,151.4,baseline,fixed_time,2026-06-17T07:35:28.825561
session_1781681691774,v139,two_wheeler,AP53GN1631,0.0,151.8,151.8,baseline,fixed_time,2026-06-17T07:35:28.884347
session_1781681691774,v129,car,DL04KE6867,0.0,152.4,152.4,baseline,fixed_time,2026-06-17T07:35:28.892431
session_1781681691774,v141,two_wheeler,DL37CC3116,0.0,154.8,154.8,baseline,fixed_time,2026-06-17T07:35:29.086404
session_1781681691774,v132,two_wheeler,TN57LR6202,0.0,156.6,156.6,baseline,fixed_time,2026-06-17T07:35:29.164850
session_1781681691774,v143,auto_rickshaw,GJ89XN5174,0.0,156.8,156.8,baseline,fixed_time,2026-06-17T07:35:29.243587
session_1781681691774,v133,car,MH97WV3204,0.0,157.6,157.6,baseline,fixed_time,2026-06-17T07:35:29.260328
session_1781681691774,v146,two_wheeler,MH02JU5344,0.0,160.8,160.8,baseline,fixed_time,2026-06-17T07:35:29.504545
session_1781681691774,v147,tsrtc_bus,TS55GI9542,0.0,161.8,161.8,baseline,fixed_time,2026-06-17T07:35:29.571195
session_1781681691774,v138,auto_rickshaw,TS59QO9443,0.0,163.3,163.3,baseline,fixed_time,2026-06-17T07:35:29.645641
session_1781681691774,v149,two_wheeler,KA88JA5774,0.0,163.8,163.8,baseline,fixed_time,2026-06-17T07:35:29.729095
session_1781681691774,v115,two_wheeler,KL44OX3033,0.0,171.7,171.7,baseline,fixed_time,2026-06-17T07:35:30.180733
session_1781681691774,v116,two_wheeler,AP45IR2953,0.0,171.9,171.9,baseline,fixed_time,2026-06-17T07:35:30.244555
session_1781681691774,v136,e_rickshaw,KL34QJ3600,0.0,171.9,171.9,baseline,fixed_time,2026-06-17T07:35:30.251106
session_1781681691774,v124,auto_rickshaw,AP72FM4041,0.0,172.0,172.0,baseline,fixed_time,2026-06-17T07:35:30.257644
session_1781681691774,v140,auto_rickshaw,DL99TZ1621,0.0,172.0,172.0,baseline,fixed_time,2026-06-17T07:35:30.264033
session_1781681691774,v144,two_wheeler,UP39JS7965,0.0,172.5,172.5,baseline,fixed_time,2026-06-17T07:35:30.271560
session_1781681691774,v145,car,TN96KQ7138,0.0,173.1,173.1,baseline,fixed_time,2026-06-17T07:35:30.334723
session_1781681691774,v137,auto_rickshaw,KA60SC7432,0.0,173.3,173.3,baseline,fixed_time,2026-06-17T07:35:30.346267
session_1781681691774,v158,car,KL96EY3238,0.0,174.8,174.8,baseline,fixed_time,2026-06-17T07:35:30.474057
session_1781681691774,v162,car,AP41NT8860,0.0,179.8,179.8,baseline,fixed_time,2026-06-17T07:35:30.801445
